fragment_index,fragment_hash,kind,source,candidate_tag,candidate_model,candidate_exact_stable,candidate_distinct_tags,labeler_1,labeler_2,adjudicated_label,final_label,final_source,label_state
252,4fa41f6992370f20,llm,claude,review,3b,true,1,adequate,adequate,,adequate,consensus,final
253,eee28058de28bc55,llm,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
254,ec4e4a5b1400cefc,llm,claude,stats,3b,true,1,adequate,adequate,,adequate,consensus,final
255,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
256,46e6e19942b47fa2,llm,codex,rebaseprep,3b,true,1,adequate,adequate,,adequate,consensus,final
257,cae3976e9f2659b6,llm,claude-subagent,design,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
258,edb222684b694ac6,llm,claude,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
259,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
260,4fa41f6992370f20,llm,claude,review,3b,true,1,adequate,adequate,,adequate,consensus,final
261,4fa41f6992370f20,llm,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
262,3a37af2537dd506a,llm,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
263,714a759c6d5dd452,llm,codex,diffcheck,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
264,1230cd7a9337f3d0,llm,codex,loadrows,3b,true,1,adequate,adequate,,adequate,consensus,final
265,61c018ef0abd480b,llm,codex,cache,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
266,81c6b68cfb1a1eca,llm,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
267,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
268,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
269,a5f32561fd0ca254,llm,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
270,b04203e4f179f49f,llm,codex,check,3b,true,1,adequate,adequate,,adequate,consensus,final
271,f0643c728297c612,llm,codex,refactor,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
272,1a7fe167c2ca5cf2,llm,codex,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
273,92fa4f1da3be42f5,llm,codex,docstrings,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
274,4fa41f6992370f20,llm,claude-subagent,review,3b,true,1,adequate,adequate,,adequate,consensus,final
275,f24c7c5efe072882,llm,claude-subagent,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
276,2e6009860a298bee,llm,claude,docs,3b,true,1,adequate,adequate,,adequate,consensus,final
277,3a9644749893b21d,llm,codex,filter,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
278,24c000af127114f0,llm,codex,test,3b,true,1,adequate,adequate,,adequate,consensus,final
279,5d729464677ee916,llm,codex,build,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
280,44c1f372ddf2731e,llm,codex,trace,3b,true,1,adequate,adequate,,adequate,consensus,final
281,d358a7418e254f52,llm,codex,cleanup,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
282,39e1fa4117e2365b,llm,codex,test,3b,true,1,adequate,adequate,,adequate,consensus,final
283,8ab9cf7d424dc347,llm,codex,docs,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
284,19352f943b40eae1,llm,codex,preview,3b,true,1,adequate,adequate,,adequate,consensus,final
285,b088f68ab0c5718a,llm,codex,release,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
286,f6cb25b6983cae56,llm,codex,flamegraph,3b,true,1,adequate,adequate,,adequate,consensus,final
287,b1317a9be4575651,llm,codex,format,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
288,56e0eead4c8d1579,llm,codex-subagent,design,3b,true,1,adequate,adequate,,adequate,consensus,final
289,294e3fb5b7c85675,llm,codex,check,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
290,cecc640f05b69521,llm,codex,test,3b,true,1,adequate,adequate,,adequate,consensus,final
291,5865357aa56e1854,llm,codex,lint,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
292,6307c7ad9a480cba,llm,codex,format,3b,true,1,adequate,adequate,,adequate,consensus,final
293,f6c91919f3e0ed44,llm,codex,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
294,bb39424976997238,llm,claude,refactor,3b,true,1,adequate,adequate,,adequate,consensus,final
295,fdf27ccc7d8b00df,llm,claude,updatecall,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
296,4fa41f6992370f20,llm,claude,review,3b,true,1,adequate,adequate,,adequate,consensus,final
297,4fa41f6992370f20,llm,claude,review,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
298,4c004b2e34e684df,llm,claude,merge,3b,true,1,adequate,adequate,,adequate,consensus,final
299,f89710362aaac8a9,llm,codex,test,3b,true,1,generic_noisy,generic_noisy,,generic_noisy,consensus,final
