dimension,raw_tag,canonical_tag,suggested_tag,r189_action,r189_reason,r189_confidence,r189_profile_similarity,governance_action,governance_reasons,requires_review,is_long_tail,is_generic_or_noisy,is_multimodal,tail_threshold,row_count,effect_weight,event_count,token_weight,support,top_processes,top_effects,top_paths,top_context_tags,top_models,top_kinds,regeneration_context_hash,regenerated_tag,regenerated_valid,regeneration_error,review_label,review_notes
llm,checksink,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,29384,1,,,,refactor=29385,claude-haiku-4-5-20251001=29385,cache=29374; input=7; output=3,da0a1d48a14d9ca5,,,,,
llm,checksinkssr,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,67198,1,,,,refactor=67199,claude-haiku-4-5-20251001=67199,cache=67189; input=7; output=2,db7c6ac22efa5def,,,,,
llm,checksrc,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,38344,1,,,,refactor=38345,claude-haiku-4-5-20251001=38345,cache=38336; input=7; output=1,d337dcb48d60f892,,,,,
llm,checksse,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,59336,1,,,,refactor=59337,claude-haiku-4-5-20251001=59337,cache=59332; output=4,ef3788e305f5bbb2,,,,,
llm,checkstat,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,78,1,,,,refactor=40,codex=40,estimate=39,26fd931ea3d7d5b1,,,,,
llm,checksudo,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,45355,1,,,,refactor=45356,claude-haiku-4-5-20251001=45356,cache=45348; input=5; output=2,e4f818cc97b04a7d,,,,,
llm,checktoken,check,check,merge,lexical+profile,0.797,0.641,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,140951,1,,,,review=140952,claude-opus-4-6=140952,cache=140795; output=155; input=1,ac49087750f6f5a6,,,,,
llm,checkutils,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,40964,1,,,,refactor=40965,claude-haiku-4-5-20251001=40965,cache=40957; output=4; input=3,8a0e2116228cf54d,,,,,
llm,cleanupspace,cleanups,cleanups,merge,lexical+profile,0.824,0.717,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,94,1,,,,review=48,codex=48,estimate=47,cb6e4e0f7d283417,,,,,
llm,configcheck,check,check,merge,lexical+profile,0.777,0.583,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,64064,1,,,,review=64065,claude-haiku-4-5-20251001=64065,cache=64060; input=3; output=1,e93de0da800ca04d,,,,,
llm,corerefactor,refactor,refactor,merge,lexical+profile,0.92,0.992,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,30,1,,,,refactor=16,codex=16,estimate=15,1cd046a415790725,,,,,
llm,dbreview,review,review,merge,lexical+profile,0.731,0.452,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,152,1,,,,preview=77,codex=77,estimate=76,8974a4a51e2461fc,,,,,
llm,designdoc,design,design,merge,lexical+profile,0.823,0.715,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,86,1,,,,refactor=44,codex=44,estimate=43,8007a8fa5bf3ca92,,,,,
llm,evaluatetag,evaluate,evaluate,merge,lexical+profile,0.747,0.497,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,40,1,,,,refactor=21,codex=21,estimate=20,a7d6b948b35c21f9,,,,,
llm,evaluatetags,evaluate,evaluate,merge,lexical+profile,0.855,0.805,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,80,1,,,,review=41,codex=41,estimate=40,39788c181ed4ac0f,,,,,
llm,fixparser,fix,fix,merge,lexical+profile,0.796,0.637,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,126,1,,,,review=64,codex=64,estimate=63,e52135ba6be5d63e,,,,,
llm,fixpathtrunc,fix,fix,merge,lexical+profile,0.72,0.42,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,89273,1,,,,refactor=89274,claude-opus-4-6=89274,cache=89190; output=82; input=1,84187a70f4f31028,,,,,
llm,formatcmp,format,format,merge,lexical+profile,0.923,1.0,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,96076,1,,,,refactor=96077,claude-opus-4-6=96077,cache=96070; output=5; input=1,b74dc974a16db3c9,,,,,
llm,formatcodex,format,format,merge,lexical+profile,0.923,1.0,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,113273,1,,,,refactor=113274,claude-opus-4-6=113274,cache=113135; output=137; input=1,d51b5ca181012fe8,,,,,
llm,grepclash,grep,grep,merge,lexical+profile,0.807,0.669,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,11788,1,,,,refactor=11789,claude-sonnet-4-6=11789,cache=11782; input=3; output=3,974d210cc56cc3dd,,,,,
llm,grepfind,grep,grep,merge,lexical+profile,0.781,0.595,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,33810,1,,,,refactor=33811,claude-haiku-4-5-20251001=33811,cache=33802; input=7; output=1,a607a7c03282e706,,,,,
llm,greprefactor,refactor,refactor,merge,lexical+profile,0.799,0.646,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,8063,1,,,,refactor=8064,claude-haiku-4-5-20251001=8064,cache=8059; input=3; output=1,fe59a19d6b925605,,,,,
llm,grepscan,grep,grep,merge,lexical+profile,0.781,0.595,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,52926,1,,,,refactor=52927,claude-haiku-4-5-20251001=52927,cache=52920; input=5; output=1,987eb337c0921bbf,,,,,
llm,hookreview,review,review,merge,lexical+profile,0.856,0.807,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,80,1,,,,review=41,codex=41,estimate=40,b8774e37d2b8152a,,,,,
llm,ignoreupdate,ignore,ignore,merge,lexical+profile,0.923,1.0,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,52300,1,,,,ignore=52301,claude-opus-4-6=52301,cache=52067; output=232; input=1,c481f0691ac4ec90,,,,,
llm,initcheck,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,60870,1,,,,refactor=60871,claude-haiku-4-5-20251001=60871,cache=60865; input=4; output=1,04a3d9bc61f008ea,,,,,
llm,loadertest,test,test,merge,lexical+profile,0.891,0.91,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,160,1,,,,refactor=81,codex=81,estimate=80,17017c8e8db83599,,,,,
llm,logfix,fix,fix,merge,lexical+profile,0.796,0.637,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,136,1,,,,review=69,codex=69,estimate=68,57b5b950cbbe233b,,,,,
llm,logview,logvi,logvi,merge,lexical+profile,0.783,0.6,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,48092,1,,,,review=48093,claude-opus-4-6=48093,cache=47831; output=260; input=1,22f066fefabef238,,,,,
llm,patchdesign,design,design,merge,lexical+profile,0.89,0.906,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,88,1,,,,review=45,codex=45,estimate=44,879ea24d5df1df52,,,,,
llm,pathfind,find,find,merge,lexical+profile,0.732,0.454,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,28,1,,,,review=15,codex=15,estimate=14,97ffb92d6898eb75,,,,,
llm,perfcheck,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,76,1,,,,refactor=39,codex=39,estimate=38,570b1a16be915758,,,,,
llm,processaudit,audit,audit,merge,lexical+profile,0.765,0.549,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,38,1,,,,refactor=20,codex=20,estimate=19,9e76d6336bc62f6d,,,,,
llm,promptreview,review,review,merge,lexical+profile,0.856,0.807,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,12,1,,,,review=7,codex=7,estimate=6,f53639548c804ee9,,,,,
llm,pushreview,review,review,merge,lexical+profile,0.856,0.807,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,90,1,,,,review=46,codex=46,estimate=45,6eed507bdb4a5537,,,,,
llm,queryexport,export,export,merge,lexical+profile,0.781,0.594,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,73123,1,,,,query=73124,claude-opus-4-6=73124,cache=72515; output=607; input=1,2305c2d65b7e66cb,,,,,
llm,readconfig,read,read,merge,lexical+profile,0.757,0.525,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,92,1,,,,refactor=47,codex=47,estimate=46,7639c98be96abf28,,,,,
llm,readcore,read,read,merge,lexical+profile,0.813,0.685,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,11218,1,,,,refactor=11219,claude-haiku-4-5-20251001=11219,cache=11211; input=6; output=1,24fc748c7f4e0429,,,,,
llm,readevent,read,read,merge,lexical+profile,0.813,0.685,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,22571,1,,,,refactor=22572,claude-haiku-4-5-20251001=22572,cache=22562; input=7; output=2,39f6e39d87bc9825,,,,,
llm,readmore,read,read,merge,lexical+profile,0.813,0.685,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,31168,1,,,,refactor=31169,claude-haiku-4-5-20251001=31169,cache=31160; input=5; output=3,2cf7feefd2257ea2,,,,,
llm,readres,read,read,merge,lexical+profile,0.757,0.525,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,120,1,,,,refactor=61,codex=61,estimate=60,336c877d5c238303,,,,,
llm,readstructs,read,read,merge,lexical+profile,0.813,0.685,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,10584,1,,,,refactor=10585,claude-haiku-4-5-20251001=10585,cache=10578; input=5; output=1,a9f5a30ee9198d45,,,,,
llm,recordattach,record,record,merge,lexical+profile,0.767,0.554,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,114,1,,,,review=58,codex=58,estimate=57,0bed6e6554d7af44,,,,,
llm,refinedocs,docs,docs,merge,lexical+profile,0.783,0.6,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,46,1,,,,refineui=24,codex=24,estimate=23,d2b87691b0bf77f4,,,,,
llm,statsparse,stats,stats,merge,lexical+profile,0.755,0.519,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,56,1,,,,refactor=29,codex=29,estimate=28,38d61fb5cdc282f7,,,,,
llm,sudocheck,check,check,merge,lexical+profile,0.851,0.794,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,45456,1,,,,refactor=45457,claude-haiku-4-5-20251001=45457,cache=45448; input=7; output=1,d7617877e8cf4107,,,,,
llm,tagdesign,design,design,merge,lexical+profile,0.861,0.823,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,94,1,,,,design=48,codex=48,estimate=47,83cbbc8425ff793d,,,,,
llm,testb,test,test,merge,lexical+profile,0.804,0.661,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,58,1,,,,refactor=30,codex=30,estimate=29,4a4afa6963cda22e,,,,,
llm,testccode,test,test,merge,lexical+profile,0.804,0.661,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,158,1,,,,refactor=80,codex=80,estimate=79,bfa895b089fb228e,,,,,
llm,testchk,test,test,merge,lexical+profile,0.742,0.482,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,132,1,,,,review=67,codex=67,estimate=66,2af0395e01ca8c54,,,,,
llm,testcodexart,test,test,merge,lexical+profile,0.784,0.604,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,110,1,,,,build=56,codex=56,estimate=55,c28147b4feaf6135,,,,,
llm,testcodexcor,test,test,merge,lexical+profile,0.835,0.749,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,136,1,,,,testcodex=69,codex=69,estimate=68,96cc3c0979e5ecdf,,,,,
llm,testcodexdoc,test,test,merge,lexical+profile,0.835,0.749,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,262,1,,,,testcodex=132,codex=132,estimate=131,cdc5f56ca5fa1deb,,,,,
llm,testcodexfls,test,test,merge,lexical+profile,0.891,0.91,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,60,1,,,,refactor=31,codex=31,estimate=30,c7f416d7eed107ca,,,,,
llm,testcodexraw,test,test,merge,lexical+profile,0.783,0.6,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,54,1,,,,summary=28,codex=28,estimate=27,6063132b26ae18a6,,,,,
llm,testcsv,test,test,merge,lexical+profile,0.793,0.629,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,152,1,,,,test=77,codex=77,estimate=76,934ac19b6a51d066,,,,,
llm,testdiff,test,test,merge,lexical+profile,0.742,0.482,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,86,1,,,,review=44,codex=44,estimate=43,912073b483949383,,,,,
llm,testdoc,test,test,merge,lexical+profile,0.789,0.616,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,118,1,,,,eval=60,codex=60,estimate=59,5dfcbf63969bc41b,,,,,
llm,testkernel,test,test,merge,lexical+profile,0.781,0.593,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,110,1,,,,enable=56,codex=56,estimate=55,bca46b8ca43b6095,,,,,
llm,testrefactor,refactor,refactor,merge,lexical+profile,0.799,0.646,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,107974,1,,,,refactor=107975,claude-opus-4-6=107975,cache=107178; output=795; input=1,dffcb0b9043b898c,,,,,
llm,testrewrite,test,test,merge,lexical+profile,0.891,0.91,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,176,1,,,,refactor=89,codex=89,estimate=88,cc45be5c39f0775b,,,,,
llm,testsyscall,test,test,merge,lexical+profile,0.781,0.595,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,584,1,,,,stressng=293,codex=293,estimate=292,8b2c7df6a2c101f8,,,,,
llm,tokensummary,summary,summary,merge,lexical+profile,0.921,0.993,auto_canonicalize_existing,r189_lexical+profile,True,True,False,False,10,0,0,1,79276,1,,,,refactor=79277,claude-haiku-4-5-20251001=79277,cache=79275; output=1,64b31694f5cabdca,,,,,
llm,topdesign,design,design,merge,lexical+profile,0.773,0.573,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,132,1,,,,design=67,codex=67,estimate=66,df18ec359f04e273,,,,,
llm,tuiupdate,tui,tui,merge,lexical+profile,0.784,0.603,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,1361469,1,,,,workshop=1361470,claude-opus-4-6=1361470,cache=1352873; output=8570; input=26,8efd6ab156fa809b,,,,,
llm,uiupdate,update,update,merge,lexical+profile,0.731,0.45,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,116,1,,,,design=59,codex=59,estimate=58,f58671bf45407e3c,,,,,
llm,unittest,test,test,merge,lexical+profile,0.804,0.661,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,30,1,,,,refactor=16,codex=16,estimate=15,dcc514d3b193daa3,,,,,
llm,updatesink,update,update,merge,lexical+profile,0.731,0.45,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,48,1,,,,designcodex=25,codex=25,estimate=24,d549d2d85cc6480f,,,,,
llm,warncheck,check,check,merge,lexical+profile,0.761,0.538,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,106,1,,,,refactor=54,codex=54,estimate=53,170ae6c3d08dab2e,,,,,
llm,yamlreview,review,review,merge,lexical+profile,0.822,0.71,auto_canonicalize_existing,r189_lexical+profile,True,True,True,False,10,0,0,1,88152,1,,,,review=88153,claude-opus-4-6=88153,cache=88007; output=144; input=1,ceaa0317064e7fbf,,,,,
session,bpfanalyze,bpfanalyze,analyze,review,lexical+profile,0.653,0.244,review_merge,r189_review_suggestion_not_applied,True,False,True,True,100,1,126,0,0,126,find=48; tool/read=40; grep=32; wc=4; ls=2,read=86; process=40,bpf=42; collector/src=24; frontend/src=20; .rs=6; .tsx=6; .c=4,explore=126,,,eca6c607c9c69c02,,,,,
prompt,loganalyze,loganalyze,analyze,review,lexical+profile,0.699,0.378,review_merge,r189_review_suggestion_not_applied,True,True,True,True,100,1,61,0,0,61,rg=28; sed=14; perl=10; tool/plan=4; find=3; cargo=1,read=45; process=15; test=1,bpfopt=14; module=14; tests/unittest=12; runner=9; micro=4; none=2,refactor=62,,,627a7c98e76c4152,,,,,
llm,visdesign,visdesign,design,review,lexical+profile,0.696,0.35,review_merge,r189_review_suggestion_not_applied,True,False,True,False,10,0,0,48,57351560,48,,,,docgen=27573635; visdesign=1102193,codex=28675828,estimate=28675780,8acab2bb1461cb26,,,,,
llm,tokenreport,tokenreport,report,review,lexical+profile,0.695,0.35,review_merge,r189_review_suggestion_not_applied,True,False,True,True,10,0,0,34,33557922,34,,,,improve=6500136; userscenariq=6067283; gothub=4156847; clarify=54729,codex=16778995,estimate=16778961,1b378bad3955e464,,,,,
llm,logcheck,logcheck,check,review,lexical+profile,0.684,0.317,review_merge,r189_review_suggestion_not_applied,True,False,True,True,10,0,0,21,1646,21,,,,analyze=277; benchmark=162; refactor=135; test=78; design=69; docs=47,codex=844,estimate=823,7a6b2ca95eecb2b1,,,,,
prompt,unittest,unittest,test,review,lexical+profile,0.707,0.411,review_merge,r189_review_suggestion_not_applied,True,True,True,False,100,1,19,0,0,19,tar=14; tool/plan=1; du=1; find=1; rg=1; sed=1,process=16; read=3,.cache=9; blobs=4; none=3; manifest.json=2; runner=1,refactor=20,,,2d645621f12c1bc5,,,,,
prompt,testcodexcod,testcodexcod,test,review,lexical+profile,0.706,0.408,review_merge,r189_review_suggestion_not_applied,True,True,True,True,100,1,18,0,0,18,llama-gguf=4; python=4; tool/tool=4; llama-cli=2; llama-server=2; ls=2,process=16; read=2,build=8; none=8; llama.cpp-latest=2,test=19,,,d79a007ef326f97e,,,,,
prompt,testignore,testignore,test,review,lexical+profile,0.688,0.357,review_merge,r189_review_suggestion_not_applied,True,True,True,False,100,1,18,0,0,18,git=12; rg=4; find=2,read=18,docs/corpus-rq1=12; docs/eval.md=2; docs/eval_scripts=2; docs/.gitignore=2,test=19,,,788cb5f3ff839ca3,,,,,
prompt,uxdesign,uxdesign,design,review,lexical+profile,0.717,0.42,review_merge,r189_review_suggestion_not_applied,True,True,True,False,100,3,12,0,0,12,sed=10; perf=2,read=10; process=2,frontend/src=10; none=2,uxdesign=15,,,7a8353e0a147eb99,,,,,
llm,reviewbu,reviewbu,review,review,lexical+profile,0.643,0.201,review_merge,r189_review_suggestion_not_applied,True,False,True,False,10,0,0,10,1476,10,,,,reviewbu=748,codex=748,estimate=738,1a59149f07caf22f,,,,,
llm,cleanbuild,cleanbuild,build,review,lexical+profile,0.671,0.281,review_merge,r189_review_suggestion_not_applied,True,True,True,True,10,0,0,8,754,8,,,,refactor=159; research=106; cleanup=86; tag=34,codex=385,estimate=377,5c96a7e9a66a5258,,,,,
llm,updatedoc,updatedoc,update,review,lexical+profile,0.643,0.201,review_merge,r189_review_suggestion_not_applied,True,True,True,True,10,0,0,7,720,7,,,,research=156; refactor=95; analyze=64; maintain=52,codex=367,estimate=360,c73f04578a13b793,,,,,
llm,verifyclaude,verifyclaude,verify,review,lexical+profile,0.636,0.18,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,7,85627,7,,,,verify=85634,claude-opus-4-6=85634,cache=84879; output=739; input=9,5f05cf8c7df4ba0b,,,,,
llm,formatcheck,formatcheck,format,review,lexical+profile,0.675,0.291,review_merge,r189_review_suggestion_not_applied,True,True,True,True,10,0,0,6,466,6,,,,research=68; userscenariq=53; refactor=52; design=50; commitlog=16,codex=239,estimate=233,c838623d2c152195,,,,,
prompt,builddocscod,builddocscod,build,review,lexical+profile,0.673,0.382,review_merge,r189_review_suggestion_not_applied,True,True,True,True,100,1,6,0,0,6,git=2; ls=2; sed=2,read=6,readme.md=6,review=7,,,3e109afdbc08a635,,,,,
prompt,designcodexs,designcodexs,design,review,lexical+profile,0.677,0.307,review_merge,r189_review_suggestion_not_applied,True,True,True,False,100,1,6,0,0,6,nl=6,read=6,collector/src=4; collector/tests=1; readme.md=1,design=7,,,0531151c7afd447c,,,,,
llm,docsync,docsync,docs,review,lexical+profile,0.712,0.396,review_merge,r189_review_suggestion_not_applied,True,True,True,True,10,0,0,5,438,5,,,,review=63; research=54; design=45; analyze=33; designfix=29,codex=224,estimate=219,1eb1547b72fcb2f4,,,,,
llm,fmtcheck,fmtcheck,check,review,lexical+profile,0.667,0.27,review_merge,r189_review_suggestion_not_applied,True,True,True,True,10,0,0,5,312,5,,,,refactor=75; docx=68; design=18,codex=161,estimate=156,7d24518fa18af870,,,,,
llm,synccheck,synccheck,check,review,lexical+profile,0.633,0.171,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,5,264,5,,,,commitlog=72; review=30; research=20; refactor=15,codex=137,estimate=132,ff200fd1c11aa70d,,,,,
llm,testfilter,testfilter,test,review,lexical+profile,0.72,0.42,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,5,288,5,,,,research=88; commitlog=40; refactor=21,codex=149,estimate=144,baa197800b5eabcd,,,,,
llm,checklist,checklist,check,review,lexical+profile,0.697,0.354,review_merge,r189_review_suggestion_not_applied,True,True,True,True,10,0,0,4,360,4,,,,refactor=59; analyze=57; design=49; review=19,codex=184,estimate=180,f5620d9cc56e6afe,,,,,
llm,proofbuild,proofbuild,build,review,lexical+profile,0.667,0.268,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,4,380,4,,,,refactor=141; benchmark=53,codex=194,estimate=190,96180d084a84bb1f,,,,,
llm,proofcheck,proofcheck,check,review,lexical+profile,0.719,0.416,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,4,350,4,,,,refactor=86; design=50; capture=43,codex=179,estimate=175,665df573e6770a1d,,,,,
llm,reviewer,reviewer,review,review,lexical+profile,0.668,0.271,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,4,316,4,,,,design=88; refactor=38; analyze=36,codex=162,estimate=158,c001d8bdbc5b2cba,,,,,
llm,checkartefac,checkartefac,check,review,lexical+profile,0.716,0.407,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,3,284,3,,,,test=82; refactor=63,codex=145,estimate=142,e989c0f87bfda4c9,,,,,
llm,checkdb,checkdb,check,review,lexical+profile,0.665,0.264,review_merge,r189_review_suggestion_not_applied,True,True,True,True,10,0,0,3,308,3,,,,review=60; feedback=50; report=47,codex=157,estimate=154,e5a0e1d28df78589,,,,,
llm,checkdisk,checkdisk,check,review,lexical+profile,0.698,0.357,review_merge,r189_review_suggestion_not_applied,True,True,True,True,10,0,0,3,212,3,,,,refactor=48; design=42; diskcheck=19,codex=109,estimate=106,edab95251610ab59,,,,,
llm,checks,checks,check,review,lexical+profile,0.642,0.198,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,3,162,3,,,,setup=42; trace=24; refactor=18,codex=84,estimate=81,366eec2eacdd7ef9,,,,,
llm,docstrings,docstrings,docs,review,lexical+profile,0.704,0.375,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,3,110,3,,,,refactor=30; design=28,codex=58,estimate=55,9b6109c6ac9782a3,,,,,
llm,stagediff,stagediff,diff,review,lexical+profile,0.63,0.162,review_merge,r189_review_suggestion_not_applied,True,True,True,True,10,0,0,3,188,3,,,,design=37; review=37; research=23,codex=97,estimate=94,e92d60d240f660d2,,,,,
llm,buildkit,buildkit,build,review,lexical+profile,0.62,0.135,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,180,2,,,,analyze=92,codex=92,estimate=90,1c512f63e4533a19,,,,,
llm,checkdoc,checkdoc,check,review,lexical+profile,0.669,0.274,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,182,2,,,,review=56; diagram=37,codex=93,estimate=91,020d40eee8685a38,,,,,
llm,checkfiles,checkfiles,check,review,lexical+profile,0.679,0.303,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,67201,2,,,,explore=58898; review=8305,claude-haiku-4-5-20251001=67203,cache=67195; input=4; output=2,1f58713fb6290f6a,,,,,
llm,checklogs,checklogs,check,review,lexical+profile,0.633,0.171,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,154,2,,,,design=79,codex=79,estimate=77,4abd363ccf94cf9e,,,,,
llm,checksum,checksum,check,review,lexical+profile,0.655,0.234,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,248,2,,,,test=64; review=62,codex=126,estimate=124,a98bf0c43687b53c,,,,,
llm,checkwarn,checkwarn,check,review,lexical+profile,0.674,0.289,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,140,2,,,,review=47; explain=25,codex=72,estimate=70,b64bf9679a999224,,,,,
llm,dbcheck,dbcheck,check,review,lexical+profile,0.654,0.23,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,154,2,,,,test=65; review=14,codex=79,estimate=77,82ad05f714f721be,,,,,
llm,docsvisexp,docsvisexp,docs,review,lexical+profile,0.699,0.361,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,148,2,,,,design=76,codex=76,estimate=74,eb437d0d5679c523,,,,,
llm,rebuild,rebuild,build,review,lexical+profile,0.691,0.337,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,160,2,,,,refactor=82,codex=82,estimate=80,6f8a421642ddfd74,,,,,
llm,reporting,reporting,report,review,lexical+profile,0.696,0.35,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,160,2,,,,analyze=58; designfix=24,codex=82,estimate=80,df968d2c6d1f765d,,,,,
llm,statuscheck,statuscheck,stat,review,lexical+profile,0.668,0.273,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,100,2,,,,test=42; refactor=10,codex=52,estimate=50,8cc87412625a4114,,,,,
llm,testsetup,testsetup,test,review,lexical+profile,0.694,0.346,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,58797,2,,,,refactor=58664; test=68,claude-haiku-4-5-20251001=58664; codex=68,cache=58662; estimate=67; output=1,9854340880307caa,,,,,
llm,viewupdate,viewupdate,update,review,lexical+profile,0.713,0.4,review_merge,r189_review_suggestion_not_applied,True,True,True,False,10,0,0,2,102,2,,,,refactor=53,codex=53,estimate=51,5658a36ff2921fce,,,,,
